appTitle,userName,date,score,Category,date_ex,processed_text,wordcount,label
Helix Jump,wan husna,14-Apr-19,5,GAME_ACTION,4/14/2019,A great game to be during times  Nice,8,rating
Pandora Music,taja sims,13-Mar-19,5,MUSIC_AND_AUDIO,4/1/2019,I truly love pandora,4,rating
Lose Belly Fat in 30 Days - Flat Stomach,,15-Dec-18,5,HEALTH_AND_FITNESS,3/24/2019,I need all the help I need 5ft and I need to lose my stomach for my hip I need a new one so the weight to Goff,28,user experience
Roblox,Reece McBratney,24-Mar-19,3,FAMILY,3/24/2019,it  s not great but it  s good,8,rating
ABCmouse.com,A Google User,22-Feb-18,5,EDUCATION,4/7/2019,I think this is cool this is learning and and I love this ,13,rating
Bowmasters,manishatse douce,11-Apr-19,5,GAME_ACTION,4/14/2019,that game was awesome,4,rating
Drink Water Reminder: Water Tracker & Alarm,Gloria Gentle,4-Apr-19,5,HEALTH_AND_FITNESS,4/14/2019,This is great  Sorry to say  I get so busy I need to drink water ,15,rating
Headspace: Meditation & Sleep,SHREENATH KAMBLE,19-Jan-19,1,HEALTH_AND_FITNESS,4/7/2019,I don  t want to give even 1 star to this  It  s a fraud  My request to all Don  t use use this  Even after i it is showing  Subscribe to unlock  after Unsubscribing They  t though ,38,rating
Venmo Mobile Wallet: Send & Receive Money,John Doe,31-Mar-19,5,FINANCE,4/7/2019,superb all around ,3,rating
Lose It! - Calorie Counter,Ronald Beabout,23-Jul-18,3,HEALTH_AND_FITNESS,4/7/2019,Your bar code feature  t work properly  It won  t even take me to where I can see the food in the view finder   Fix it ,26,feature request
Snowball.io,,8-Mar-19,5,GAME_ACTION,3/8/2019,it is a amazing game that i cant ,8,rating
Battle Royale: FPS Shooter,A Google User,11-Mar-19,5,GAME_ACTION,4/14/2019,this game is nice then any game,7,rating
ABCmouse.com,Tara M.,15-Feb-19,4,EDUCATION,3/24/2019,My daughter  4y  o  this so much and I can tell that she is learning a lot more  However  the on ,21,user experience
,xavier ragland,29-Apr-19,3,MUSIC_AND_AUDIO,5/1/2019,i give this a 3 now cause i pay for premium i should be able to listen to anything but certain artist at least once a month,27,rating
Tomb of the Mask,Sherena Ramirez,1-Apr-19,5,GAME_ACTION,4/21/2019,the game is amazing it  s a total time killer,10,rating
Tubi - Free Movies & TV Shows,Josesito Drigo,29-Apr-19,5,ENTERTAINMENT,5/9/2019,it  s great,3,rating
Super Bino Go - New Games 2019,Sudharshitha P,5-Apr-19,5,FAMILY,4/14/2019,i love this game much ,5,rating
Love Poly - New puzzle game,Danielle Moore,18-Feb-19,4,FAMILY,4/7/2019,It  s really fun and,5,rating
Duolingo: Learn Languages Free,ana briseño,14-Apr-19,5,EDUCATION,4/14/2019,we love it,3,rating
Sweatcoin Pays You To Get Fit,Tea Wee,6-Mar-19,1,HEALTH_AND_FITNESS,4/7/2019,Terrible  Went running   t count a single step ,8,rating
Fresh EBT - Food Stamp Balance,,3-Mar-19,5,FINANCE,3/24/2019,Excellent  Thanks so much ,4,rating
Helix Jump,Karma Wade,6-Apr-19,5,GAME_ACTION,4/7/2019,It is a very game that I spend hour on ,10,rating
Amazon Alexa,Mike Walsh,21-Dec-18,1,MUSIC_AND_AUDIO,3/9/2019,Do not update  Keep your older version  wish I saw all the about the update first  but I didnt look  Like many I am getting all the time now from not  None of this was an issue before the update  The working error coming up about 20 times a day  so i just keep sending log to the dev for a fix  Uninstalled and the  but still no luck  Keep your old version  I am running Android 8  0 on V20 ,81,feature request
slither.io,Brandon Ryan,10-Feb-19,5,GAME_ACTION,3/8/2019,other say  TOO MANY  there to have,7,rating
Quizlet: Learn Languages & Vocab with Flashcards,Kriss Wheeler,27-Jan-19,5,EDUCATION,4/14/2019,Love this  helping me study and succeed,7,rating
Free Music Player – Online & Offline MP3 Player,Riley Inglis,18-Dec-18,1,MUSIC_AND_AUDIO,4/21/2019,the that it is  but it  it and it all of the time ,13,rating
,Rashard Wilkinson,25-Feb-19,1,LIFESTYLE,5/1/2019,money to see result total con,6,rating
Tomb of the Mask,A Google User,25-Mar-19,5,GAME_ACTION,4/7/2019,heart pleasing  yeah it is good job,7,rating
Amazon Music,Peter Murray,10-Apr-19,5,MUSIC_AND_AUDIO,4/14/2019, and this is far easier and ,6,rating
Snowball.io,Carlo B.,5-Apr-19,5,GAME_ACTION,4/14/2019,I and won,3,rating
TurboTax Tax Return App – Max Refund Guaranteed,Steve Hamilton,8-Apr-18,1,FINANCE,3/8/2019,I got a 1099 this year and me to pay 119 to file it  Do not use this if you  re self  employed ,23,rating
Kahoot!,Jorgefango 5479 games and more,22-Jan-18,1,EDUCATION,5/9/2019,I HATE HIS GAME,4,rating
SmartThings,john buchanan,22-Mar-19,5,LIFESTYLE,3/24/2019,really great update,3,rating
Battle Royale: FPS Shooter,A Google User,9-Mar-19,5,GAME_ACTION,4/1/2019,it is good,3,rating
,Brandon Owens,19-Mar-19,5,FINANCE,5/1/2019,Very simple and easy to use  Only thing i can see that could be is making sure the user to swipe right for the next page ,26,feature request
"iHeartRadio - Free Music, Radio & Podcasts",S Vacca,14-Mar-19,5,MUSIC_AND_AUDIO,3/24/2019,Works well with the Android to 9  0 Pie ,9,user experience
PayPal Mobile Cash: Send and Request Money Fast,dchap3670,15-Apr-19,5,FINANCE,4/21/2019,quick and easy process ,4,user experience
SoundCloud - Music & Audio,,28-Feb-19,5,MUSIC_AND_AUDIO,3/9/2019,i love it,3,rating
Calorie Counter - MyFitnessPal,Matthew Sleeman,10-Apr-19,5,HEALTH_AND_FITNESS,4/14/2019,track calorie and also once diary how much you could weigh ,11,user experience
Venmo Mobile Wallet: Send & Receive Money,yadira escalante,15-Apr-19,5,FINANCE,5/9/2019,really good i dont have to drive to deposit money,10,user experience
Bank of America Mobile Banking,Kkelly Floridino,7-Mar-19,4,FINANCE,3/8/2019,love your  hate the line up of the Bill  s in bill pay now   t displayed clearly  should have left that alone ,22,feature request
Family Locator - GPS Tracker,Jade Budiao,26-Mar-19,1,LIFESTYLE,4/14/2019,useless  the person you need to track have to check in first where ever they are before you see their location  total useless for the purpose of ,27,user experience
TurboTax Tax Return App – Max Refund Guaranteed,Mavitel Mata,6-Feb-19,1,FINANCE,4/7/2019,I tried filing this year turbo tax  But I was because I  t know my from 2017  They me to the and they ask me to verify my identity with a loan or a credit card number which I don  t have  so now I just hope they don  t charge me especially after all that extra work I had to do instead of going to get them done ,69,user experience
Ms.Sibyl - See Future Me,A Google User,31-Mar-19,1,LIFESTYLE,5/9/2019,everything is expensive not paying for this,7,rating
Fresh EBT - Food Stamp Balance,V Stewart,15-Feb-19,3,FINANCE,3/24/2019,I  not had any that have in the  So far so good  Easy to use ,15,rating
WildCraft: Animal Sim Online 3D,Sue,3-Feb-19,5,FAMILY,4/14/2019,a very good game the are so cute i rate it five ,12,rating
"iHeartRadio - Free Music, Radio & Podcasts",Christina Wooff,27-Mar-19,5,MUSIC_AND_AUDIO,4/21/2019,I like listening to the local radio on here  Really good ,11,rating
"Hulu: Stream TV, Movies & more",ryb gamer,15-Mar-19,5,ENTERTAINMENT,4/14/2019,This is just a question  If you delete your hulu and it later it  t put your account back and i forgot my password but when you and it is your payment for each month be or will it stay cause please tell me it if it doesnt tell me a way to cancel the member ship,57,user experience
Free Music Player – Online & Offline MP3 Player,A Google User,11-Mar-19,3,MUSIC_AND_AUDIO,4/1/2019,i like it but way to much that the pause my music,12,rating
"Pixel Art: Color by Number, Pixel Color",Adrian Trujillo,4-Oct-18,3,ENTERTAINMENT,4/1/2019,It is a fun game ,5,
DisneyNOW – Episodes & Live TV,Holly Forman,3-Mar-19,3,FAMILY,4/1/2019,I like it but it is actually sad cause if you don  t have a provider then most of your are locked   and most of the are hard so change that thanks ,32,feature request
Drum Pad Machine - Make Beats,A Google User,18-Mar-19,5,MUSIC_AND_AUDIO,4/14/2019,I like it can make own music,7,rating
Headspace: Meditation & Sleep,Mahesh T,29-Jan-19,5,HEALTH_AND_FITNESS,4/21/2019,this is awesome  very easy and  and world class support  delighted,11,user experience
Zelle,Val Finn,1-Aug-18,5,FINANCE,4/21/2019,This is a life saver  Very convenient ,7,rating
Tinder,sathish kumar,4-Apr-19,1,LIFESTYLE,4/14/2019,worst don  t waste your time,6,rating
Apple Music,Marvin Ling,16-Mar-19,3,MUSIC_AND_AUDIO,4/14/2019,The is great but please fix playback  if phone screen is locked the music will stop after 5  10 or so  no such problem ,24,feature request
,krishnasai badam,22-Apr-19,4,GAME_ACTION,5/1/2019,It is quite to play at starting and but after more than 20 u will easily get,17,user experience
,WAGGLES Academy for Dogs Inc,20-Mar-19,5,EDUCATION,5/1/2019,Very useful  no ,3,user experience
Ms.Sibyl - See Future Me,lets Tim Tok,23-Mar-19,5,LIFESTYLE,4/7/2019,it  s a good but it needs,7,rating
Tubi - Free Movies & TV Shows,Christine Warren,4-May-19,5,ENTERTAINMENT,5/9/2019,The are great,3,rating
Roku,Mervin Yazi,5-Apr-19,5,ENTERTAINMENT,4/7/2019,very good this ,3,rating
,A Google User,12-Feb-19,5,EDUCATION,5/1/2019,They really care about their and the experience  Reliable  easy to use  and super helpful ,15,user experience
,A Google User,1-Feb-15,1,FINANCE,5/1/2019,Broke Fix was working evening i checked it again and this morning still the same stuff the update like it got worser please fix not working either,27,bug report
Duolingo: Learn Languages Free,Marcus LeeRoy,15-Apr-19,4,FAMILY,4/21/2019,Can you please one day add the language  ,8,user experience
