0,processed_text,Rating,User Experience,Bug Report,Feature Report,Rating,User Experience,Bug Report,Feature Report,Rating,User Experience,Bug Report,Feature Report,
0,A great game to be during times  Nice,1,0,0,0,1,0,0,0,1,0,0,0,
1,I truly love pandora,1,0,0,0,1,0,0,0,0,1,0,0,
2,I need all the help I need 5ft and I need to lose my stomach for my hip I need a new one so the weight to Goff,0,0,0,0,0,1,0,0,0,1,0,0,
3,it  s not great but it  s good,1,0,0,0,1,0,0,0,1,0,0,0,
4,I think this is cool this is learning and and I love this ,0,1,0,0,1,0,0,0,0,1,0,0,
5,that game was awesome,1,0,0,0,1,0,0,0,1,0,0,0,
6,This is great  Sorry to say  I get so busy I need to drink water ,0,1,0,0,1,0,0,0,0,1,0,0,
7,I don  t want to give even 1 star to this  It  s a fraud  My request to all Don  t use use this  Even after i it is showing  Subscribe to unlock  after Unsubscribing They  t though,0,0,1,0,1,0,0,0,1,0,0,0,
8,superb all around ,1,0,0,0,1,0,0,0,1,0,0,0,
9,Your bar code feature  t work properly  It won  t even take me to where I can see the food in the view finder   Fix it ,0,0,1,0,0,0,0,1,0,0,1,0,
10,it is a amazing game that i cant ,1,0,0,0,1,0,0,0,1,0,0,0,
11,this game is nice then any game,1,0,0,0,1,0,0,0,1,0,0,0,
12,My daughter  4y  o  this so much and I can tell that she is learning a lot more  However  the on,0,1,0,0,0,1,0,0,0,1,0,0,
13,i give this a 3 now cause i pay for premium i should be able to listen to anything but certain artist at least once a month,0,0,1,0,1,0,0,0,0,0,0,1,
14,the game is amazing it  s a total time killer,1,0,0,0,1,0,0,0,1,0,0,0,
15,it  s great,1,0,0,0,1,0,0,0,1,0,0,0,
16,i love this game much ,1,0,0,0,1,0,0,0,1,0,0,0,
17,It  s really fun and,1,0,0,0,1,0,0,0,1,0,0,0,
18,we love it,1,0,0,0,1,0,0,0,1,0,0,0,
19,Terrible  Went running   t count a single step ,0,0,1,0,1,0,0,0,0,0,1,0,
20,Excellent  Thanks so much ,1,0,0,0,1,0,0,0,1,0,0,0,
21,It is a very game that I spend hour on ,1,0,0,0,1,0,0,0,1,0,0,0,
22,Do not update  Keep your older version  wish I saw all the about the update first  but I didnt look  Like many I am getting all the time now from not  None of this was an issue before the update  The working error coming up about 20 times a day  so i just keep sending log to the dev for a fix  Uninstalled and the  but still no luck  Keep your old version  I am running Android 8  0 on V20,0,0,1,0,0,0,0,1,0,0,1,0,
23,other say  TOO MANY  there to have,0,0,0,0,1,0,0,0,1,0,0,0,
24,Love this  helping me study and succeed,0,1,0,0,1,0,0,0,0,1,0,0,
25,I use the hub through my Shield box  One of the biggest I have with this interface is that the hub will do a forced update EVERY single time I boot up my Shield  This boot up is something I do several times a day and the update FOREVER  This is a time factor independent of speed  I have connected to my Shield  It is a setting that cannot be ,0,0,0,0,1,0,0,0,0,0,1,0,
26,Good  I like that Android Auto is officially now  Only complaint is that I have to search for and start from the beginning every time I fire up the in AA  I only use Music for streaming hour long  so it a little old listening to the same 20 every time I go to work  No other here ,0,0,0,0,1,0,0,0,0,0,1,0,
27,heart pleasing  yeah it is good job,1,0,0,0,1,0,0,0,1,0,0,0,
28, and this is far easier and ,1,0,0,0,1,0,0,0,1,0,0,0,
29,I and won,0,0,0,0,1,0,0,0,0,1,0,0,
30,I got a 1099 this year and me to pay 119 to file it  Do not use this if you  re self  employed,0,0,1,0,1,0,0,0,1,0,0,0,
31,I HATE HIS GAME,1,0,0,0,1,0,0,0,1,0,0,0,
32,really great update,1,0,0,0,1,0,0,0,1,0,0,0,
33,it is good,1,0,0,0,1,0,0,0,1,0,0,0,
34,Very simple and easy to use  Only thing i can see that could be is making sure the user to swipe right for the next page ,0,0,0,1,0,0,0,1,0,0,0,1,
35,Works well with the Android to 9  0 Pie,1,0,0,0,0,1,0,0,1,0,0,0,
36,quick and easy process ,1,0,0,0,0,1,0,0,1,0,0,0,
37,i love it,1,0,0,0,1,0,0,0,1,0,0,0,
38,track calorie and also once diary how much you could weigh ,0,1,0,0,0,1,0,0,0,1,0,0,
39,really good i dont have to drive to deposit money,0,1,0,0,0,1,0,0,0,1,0,0,
40,love your  hate the line up of the Bill  s in bill pay now   t displayed clearly  should have left that alone ,0,0,1,0,0,0,0,1,1,0,0,0,
41,useless  the person you need to track have to check in first where ever they are before you see their location  total useless for the purpose of ,0,1,0,0,0,1,0,0,0,1,0,0,
42,I tried filing this year turbo tax  But I was because I  t know my from 2017  They me to the and they ask me to verify my identity with a loan or a credit card number which I don  t have  so now I just hope they don  t charge me especially after all that extra work I had to do instead of going to get them done,0,1,0,0,0,1,0,0,0,1,0,0,
43,everything is expensive not paying for this,0,1,0,0,1,0,0,0,1,0,0,0,
44,I  not had any that have in the  So far so good  Easy to use ,1,0,0,0,1,0,0,0,1,0,0,0,
45,a very good game the are so cute i rate it five ,1,0,0,0,1,0,0,0,1,0,0,0,
