appTitle,userName,date,score,Category,date_ex,processed_text,wordcount,label
Helix Jump,wan husna,14-Apr-19,5,GAME_ACTION,2019-04-14,A great game to be during times  Nice,8,Rating
Pandora Music,taja sims,13-Mar-19,5,MUSIC_AND_AUDIO,2019-04-01,I truly love pandora,4,UserExperience
Lose Belly Fat in 30 Days - Flat Stomach,,15-Dec-18,5,HEALTH_AND_FITNESS,2019-03-24,I need all the help I need 5ft and I need to lose my stomach for my hip I need a new one so the weight to Goff,28,UserExperience
Roblox,Reece McBratney,24-Mar-19,3,FAMILY,2019-03-24,it  s not great but it  s good,8,Rating
ABCmouse.com,A Google User,22-Feb-18,5,EDUCATION,2019-04-07,I think this is cool this is learning and and I love this ,13,UserExperience
Bowmasters,manishatse douce,11-Apr-19,5,GAME_ACTION,2019-04-14,that game was awesome,4,Rating
Drink Water Reminder: Water Tracker & Alarm,Gloria Gentle,04-Apr-19,5,HEALTH_AND_FITNESS,2019-04-14,This is great  Sorry to say  I get so busy I need to drink water ,15,UserExperience
Headspace: Meditation & Sleep,SHREENATH KAMBLE,19-Jan-19,1,HEALTH_AND_FITNESS,2019-04-07,I don  t want to give even 1 star to this  It  s a fraud  My request to all Don  t use use this  Even after i it is showing  Subscribe to unlock  after Unsubscribing They  t though ,38,Rating
Venmo Mobile Wallet: Send & Receive Money,John Doe,31-Mar-19,5,FINANCE,2019-04-07,superb all around ,3,Rating
Lose It! - Calorie Counter,Ronald Beabout,23-Jul-18,3,HEALTH_AND_FITNESS,2019-04-07,Your bar code feature  t work properly  It won  t even take me to where I can see the food in the view finder   Fix it ,26,Bug
Snowball.io,,08-Mar-19,5,GAME_ACTION,2019-03-08,it is a amazing game that i cant ,8,Rating
Battle Royale: FPS Shooter,A Google User,11-Mar-19,5,GAME_ACTION,2019-04-14,this game is nice then any game,7,Rating
ABCmouse.com,Tara M.,15-Feb-19,4,EDUCATION,2019-03-24,My daughter  4y  o  this so much and I can tell that she is learning a lot more  However  the on ,21,UserExperience
,xavier ragland,29-Apr-19,3,MUSIC_AND_AUDIO,2019-05-01,i give this a 3 now cause i pay for premium i should be able to listen to anything but certain artist at least once a month,27,Feature
Tomb of the Mask,Sherena Ramirez,01-Apr-19,5,GAME_ACTION,2019-04-21,the game is amazing it  s a total time killer,10,Rating
Tubi - Free Movies & TV Shows,Josesito Drigo,29-Apr-19,5,ENTERTAINMENT,2019-05-09,it  s great,3,Rating
Super Bino Go - New Games 2019,Sudharshitha P,05-Apr-19,5,FAMILY,2019-04-14,i love this game much ,5,Rating
Love Poly - New puzzle game,Danielle Moore,18-Feb-19,4,FAMILY,2019-04-07,It  s really fun and,5,Rating
Duolingo: Learn Languages Free,ana briseño,14-Apr-19,5,EDUCATION,2019-04-14,we love it,3,Rating
Sweatcoin Pays You To Get Fit,Tea Wee,06-Mar-19,1,HEALTH_AND_FITNESS,2019-04-07,Terrible  Went running   t count a single step ,8,Bug
Fresh EBT - Food Stamp Balance,,03-Mar-19,5,FINANCE,2019-03-24,Excellent  Thanks so much ,4,Rating
Helix Jump,Karma Wade,06-Apr-19,5,GAME_ACTION,2019-04-07,It is a very game that I spend hour on ,10,Rating
Amazon Alexa,Mike Walsh,21-Dec-18,1,MUSIC_AND_AUDIO,2019-03-09,Do not update  Keep your older version  wish I saw all the about the update first  but I didnt look  Like many I am getting all the time now from not  None of this was an issue before the update  The working error coming up about 20 times a day  so i just keep sending log to the dev for a fix  Uninstalled and the  but still no luck  Keep your old version  I am running Android 8  0 on V20 ,81,Bug
slither.io,Brandon Ryan,10-Feb-19,5,GAME_ACTION,2019-03-08,other say  TOO MANY  there to have,7,Rating
Quizlet: Learn Languages & Vocab with Flashcards,Kriss Wheeler,27-Jan-19,5,EDUCATION,2019-04-14,Love this  helping me study and succeed,7,UserExperience
Free Music Player – Online & Offline MP3 Player,Riley Inglis,18-Dec-18,1,MUSIC_AND_AUDIO,2019-04-21,the that it is  but it  it and it all of the time ,13,Bug
,Rashard Wilkinson,25-Feb-19,1,LIFESTYLE,2019-05-01,money to see result total con,6,Bug
Tomb of the Mask,A Google User,25-Mar-19,5,GAME_ACTION,2019-04-07,heart pleasing  yeah it is good job,7,Rating
Amazon Music,Peter Murray,10-Apr-19,5,MUSIC_AND_AUDIO,2019-04-14, and this is far easier and ,6,Rating
Snowball.io,Carlo B.,05-Apr-19,5,GAME_ACTION,2019-04-14,I and won,3,UserExperience
TurboTax Tax Return App – Max Refund Guaranteed,Steve Hamilton,08-Apr-18,1,FINANCE,2019-03-08,I got a 1099 this year and me to pay 119 to file it  Do not use this if you  re self  employed ,23,Rating
Kahoot!,Jorgefango 5479 games and more,22-Jan-18,1,EDUCATION,2019-05-09,I HATE HIS GAME,4,Rating
SmartThings,john buchanan,22-Mar-19,5,LIFESTYLE,2019-03-24,really great update,3,Rating
Battle Royale: FPS Shooter,A Google User,09-Mar-19,5,GAME_ACTION,2019-04-01,it is good,3,Rating
,Brandon Owens,19-Mar-19,5,FINANCE,2019-05-01,Very simple and easy to use  Only thing i can see that could be is making sure the user to swipe right for the next page ,26,Feature
"iHeartRadio - Free Music, Radio & Podcasts",S Vacca,14-Mar-19,5,MUSIC_AND_AUDIO,2019-03-24,Works well with the Android to 9  0 Pie ,9,Rating
PayPal Mobile Cash: Send and Request Money Fast,dchap3670,15-Apr-19,5,FINANCE,2019-04-21,quick and easy process ,4,Rating
SoundCloud - Music & Audio,,28-Feb-19,5,MUSIC_AND_AUDIO,2019-03-09,i love it,3,Rating
Calorie Counter - MyFitnessPal,Matthew Sleeman,10-Apr-19,5,HEALTH_AND_FITNESS,2019-04-14,track calorie and also once diary how much you could weigh ,11,UserExperience
Venmo Mobile Wallet: Send & Receive Money,yadira escalante,15-Apr-19,5,FINANCE,2019-05-09,really good i dont have to drive to deposit money,10,UserExperience
Bank of America Mobile Banking,Kkelly Floridino,07-Mar-19,4,FINANCE,2019-03-08,love your  hate the line up of the Bill  s in bill pay now   t displayed clearly  should have left that alone ,22,Rating
Family Locator - GPS Tracker,Jade Budiao,26-Mar-19,1,LIFESTYLE,2019-04-14,useless  the person you need to track have to check in first where ever they are before you see their location  total useless for the purpose of ,27,UserExperience
TurboTax Tax Return App – Max Refund Guaranteed,Mavitel Mata,06-Feb-19,1,FINANCE,2019-04-07,I tried filing this year turbo tax  But I was because I  t know my from 2017  They me to the and they ask me to verify my identity with a loan or a credit card number which I don  t have  so now I just hope they don  t charge me especially after all that extra work I had to do instead of going to get them done ,69,UserExperience
Ms.Sibyl - See Future Me,A Google User,31-Mar-19,1,LIFESTYLE,2019-05-09,everything is expensive not paying for this,7,Rating
Fresh EBT - Food Stamp Balance,V Stewart,15-Feb-19,3,FINANCE,2019-03-24,I  not had any that have in the  So far so good  Easy to use ,15,Rating
WildCraft: Animal Sim Online 3D,Sue,03-Feb-19,5,FAMILY,2019-04-14,a very good game the are so cute i rate it five ,12,Rating
"iHeartRadio - Free Music, Radio & Podcasts",Christina Wooff,27-Mar-19,5,MUSIC_AND_AUDIO,2019-04-21,I like listening to the local radio on here  Really good ,11,Rating
"Hulu: Stream TV, Movies & more",ryb gamer,15-Mar-19,5,ENTERTAINMENT,2019-04-14,This is just a question  If you delete your hulu and it later it  t put your account back and i forgot my password but when you and it is your payment for each month be or will it stay cause please tell me it if it doesnt tell me a way to cancel the member ship,57,UserExperience
Free Music Player – Online & Offline MP3 Player,A Google User,11-Mar-19,3,MUSIC_AND_AUDIO,2019-04-01,i like it but way to much that the pause my music,12,Feature
"Pixel Art: Color by Number, Pixel Color",Adrian Trujillo,04-Oct-18,3,ENTERTAINMENT,2019-04-01,It is a fun game ,5,Rating
DisneyNOW – Episodes & Live TV,Holly Forman,03-Mar-19,3,FAMILY,2019-04-01,I like it but it is actually sad cause if you don  t have a provider then most of your are locked   and most of the are hard so change that thanks ,32,Feature
Drum Pad Machine - Make Beats,A Google User,18-Mar-19,5,MUSIC_AND_AUDIO,2019-04-14,I like it can make own music,7,Rating
Headspace: Meditation & Sleep,Mahesh T,29-Jan-19,5,HEALTH_AND_FITNESS,2019-04-21,this is awesome  very easy and  and world class support  delighted,11,Rating
Zelle,Val Finn,01-Aug-18,5,FINANCE,2019-04-21,This is a life saver  Very convenient ,7,Rating
Tinder,sathish kumar,04-Apr-19,1,LIFESTYLE,2019-04-14,worst don  t waste your time,6,Rating
Apple Music,Marvin Ling,16-Mar-19,3,MUSIC_AND_AUDIO,2019-04-14,The is great but please fix playback  if phone screen is locked the music will stop after 5  10 or so  no such problem ,24,Feature
,krishnasai badam,22-Apr-19,4,GAME_ACTION,2019-05-01,It is quite to play at starting and but after more than 20 u will easily get,17,Bug
,WAGGLES Academy for Dogs Inc,20-Mar-19,5,EDUCATION,2019-05-01,Very useful  no ,3,Rating
Ms.Sibyl - See Future Me,lets Tim Tok,23-Mar-19,5,LIFESTYLE,2019-04-07,it  s a good but it needs,7,Rating
Tubi - Free Movies & TV Shows,Christine Warren,04-May-19,5,ENTERTAINMENT,2019-05-09,The are great,3,Rating
Roku,Mervin Yazi,05-Apr-19,5,ENTERTAINMENT,2019-04-07,very good this ,3,Rating
,A Google User,12-Feb-19,5,EDUCATION,2019-05-01,They really care about their and the experience  Reliable  easy to use  and super helpful ,15,UserExperience
,A Google User,01-Feb-15,1,FINANCE,2019-05-01,Broke Fix was working evening i checked it again and this morning still the same stuff the update like it got worser please fix not working either,27,Bug
Duolingo: Learn Languages Free,Marcus LeeRoy,15-Apr-19,4,FAMILY,2019-04-21,Can you please one day add the language  ,8,Feature
Roku,Amanda F,03-Mar-19,4,ENTERTAINMENT,2019-03-13,I absolutely love this  I just wish it was available on higher  you can  t get it  to my knowledge  the galaxy s7,23,Feature
Toca Kitchen 2,D T,25-Jan-19,5,FAMILY,2019-04-14,Please Make A Kitchen 3,5,Feature
Toca Kitchen 2,racheal Wallace,03-Mar-19,5,FAMILY,2019-04-14,because you have good,4,Rating
Love Poly - New puzzle game,Melissa Peterson,20-Mar-19,5,FAMILY,2019-04-01,we love your good game so far,7,Rating
Pandora - Streaming Music & Podcasts,Caralia Silva,15-Apr-19,5,MUSIC_AND_AUDIO,2019-04-21,I have never it ,4,Rating
