processed_text,Rating,User Experience,Bug Report,Feature Report,label
A great game to be during times  Nice,1,0,0,0,Rating
I truly love pandora,0,1,0,0,UserExperience
I need all the help I need 5ft and I need to lose my stomach for my hip I need a new one so the weight to Goff,0,1,0,0,UserExperience
it  s not great but it  s good,1,0,0,0,Rating
I think this is cool this is learning and and I love this ,0,1,0,0,UserExperience
that game was awesome,1,0,0,0,Rating
This is great  Sorry to say  I get so busy I need to drink water ,0,1,0,0,UserExperience
I don  t want to give even 1 star to this  It  s a fraud  My request to all Don  t use use this  Even after i it is showing  Subscribe to unlock  after Unsubscribing They  t though,1,0,0,0,Rating
superb all around ,1,0,0,0,Rating
Your bar code feature  t work properly  It won  t even take me to where I can see the food in the view finder   Fix it ,0,0,1,0,Bug
it is a amazing game that i cant ,1,0,0,0,Rating
this game is nice then any game,1,0,0,0,Rating
My daughter  4y  o  this so much and I can tell that she is learning a lot more  However  the on,0,1,0,0,UserExperience
i give this a 3 now cause i pay for premium i should be able to listen to anything but certain artist at least once a month,0,0,0,1,Feature
the game is amazing it  s a total time killer,1,0,0,0,Rating
it  s great,1,0,0,0,Rating
i love this game much ,1,0,0,0,Rating
It  s really fun and,1,0,0,0,Rating
we love it,1,0,0,0,Rating
Terrible  Went running   t count a single step ,0,0,1,0,Bug
Excellent  Thanks so much ,1,0,0,0,Rating
It is a very game that I spend hour on ,1,0,0,0,Rating
Do not update  Keep your older version  wish I saw all the about the update first  but I didnt look  Like many I am getting all the time now from not  None of this was an issue before the update  The working error coming up about 20 times a day  so i just keep sending log to the dev for a fix  Uninstalled and the  but still no luck  Keep your old version  I am running Android 8  0 on V20,0,0,1,0,Bug
other say  TOO MANY  there to have,1,0,0,0,Rating
Love this  helping me study and succeed,0,1,0,0,UserExperience
I use the hub through my Shield box  One of the biggest I have with this interface is that the hub will do a forced update EVERY single time I boot up my Shield  This boot up is something I do several times a day and the update FOREVER  This is a time factor independent of speed  I have connected to my Shield  It is a setting that cannot be ,0,0,1,0,Bug
Good  I like that Android Auto is officially now  Only complaint is that I have to search for and start from the beginning every time I fire up the in AA  I only use Music for streaming hour long  so it a little old listening to the same 20 every time I go to work  No other here ,0,0,1,0,Bug
heart pleasing  yeah it is good job,1,0,0,0,Rating
 and this is far easier and ,1,0,0,0,Rating
I and won,0,1,0,0,UserExperience
I got a 1099 this year and me to pay 119 to file it  Do not use this if you  re self  employed,1,0,0,0,Rating
I HATE HIS GAME,1,0,0,0,Rating
really great update,1,0,0,0,Rating
it is good,1,0,0,0,Rating
Very simple and easy to use  Only thing i can see that could be is making sure the user to swipe right for the next page ,0,0,0,1,Feature
Works well with the Android to 9  0 Pie,1,0,0,0,Rating
quick and easy process ,1,0,0,0,Rating
i love it,1,0,0,0,Rating
track calorie and also once diary how much you could weigh ,0,1,0,0,UserExperience
really good i dont have to drive to deposit money,0,1,0,0,UserExperience
love your  hate the line up of the Bill  s in bill pay now   t displayed clearly  should have left that alone ,1,0,0,0,Rating
useless  the person you need to track have to check in first where ever they are before you see their location  total useless for the purpose of ,0,1,0,0,UserExperience
I tried filing this year turbo tax  But I was because I  t know my from 2017  They me to the and they ask me to verify my identity with a loan or a credit card number which I don  t have  so now I just hope they don  t charge me especially after all that extra work I had to do instead of going to get them done,0,1,0,0,UserExperience
everything is expensive not paying for this,1,0,0,0,Rating
I  not had any that have in the  So far so good  Easy to use ,1,0,0,0,Rating
a very good game the are so cute i rate it five ,1,0,0,0,Rating
I like listening to the local radio on here  Really good ,1,0,0,0,Rating
This is just a question  If you delete your hulu and it later it  t put your account back and i forgot my password but when you and it is your payment for each month be or will it stay cause please tell me it if it doesnt tell me a way to cancel the member ship,0,1,0,0,UserExperience
i like it but way to much that the pause my music,0,0,0,1,Feature
It is a fun game ,1,0,0,0,Rating
I like it but it is actually sad cause if you don  t have a provider then most of your are locked   and most of the are hard so change that thanks ,0,0,0,1,Feature
I like it can make own music,1,0,0,0,Rating
this is awesome  very easy and  and world class support  delighted,1,0,0,0,Rating
This is a life saver  Very convenient ,1,0,0,0,Rating
worst don  t waste your time,1,0,0,0,Rating
The is great but please fix playback  if phone screen is locked the music will stop after 5  10 or so  no such problem,0,0,0,1,Feature
It is quite to play at starting and but after more than 20 u will easily get,0,0,1,0,Bug
Very useful  no ,0,0,0,0,Rating
it  s a good but it needs,1,0,0,0,Rating
The are great,1,0,0,0,Rating
very good this ,1,0,0,0,Rating
They really care about their and the experience  Reliable  easy to use  and super helpful ,0,1,0,0,UserExperience
Broke Fix was working evening i checked it again and this morning still the same stuff the update like it got worser please fix not working either,0,0,1,0,Bug
Can you please one day add the language  ,0,0,0,1,Feature
I absolutely love this  I just wish it was available on higher  you can  t get it  to my knowledge  the galaxy s7,0,0,0,1,Feature
Please Make A Kitchen 3,0,0,0,1,Feature
because you have good,1,0,0,0,Rating
we love your good game so far,1,0,0,0,Rating
I have never it ,1,0,0,0,Rating
 it is what it is ,1,0,0,0,Rating
its very good of mathematics,1,0,0,0,Rating
dumb its getting low on speed  not getting to view the content posted by as fast as by through wa,0,0,1,0,Bug
this is practically useless if you dont pay  not sure of how much it when you do ,1,0,0,0,Rating
add after every single time i open the and play a song i only get 1 song in before a stupid ad thats,0,0,1,0,Bug
I use the hub through my Shield box  One of the biggest I have with this interface is that the hub will do a forced update EVERY single time I boot up my Shield  This boot up is something I do several times a day and the update FOREVER  This is a time factor independent of speed  I have connected to my Shield  It is a setting that cannot be ,0,0,1,0,Bug
I love This Game,1,0,0,0,Rating
