cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6486486486486487;0.6484018264840183;0.7164179104477613;0.6262626262626263;0.6604651162790698;0.6178010471204188;0.6829268292682926;0.6380952380952382;0.6952380952380952;0.6699029126213593
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6285714285714286;0.6511627906976745;0.641860465116279;0.6799999999999999;0.6027397260273972;0.6545454545454545;0.5869565217391304;0.6037735849056604;0.641860465116279;0.6222222222222222
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6285714285714286;0.711340206185567;0.6976744186046511;0.6854460093896715;0.6341463414634145;0.6666666666666666;0.5925925925925926;0.6666666666666666;0.5217391304347826;0.6442307692307692
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6852589641434264;0.675;0.6480000000000001;0.6259541984732824;0.6079295154185023;0.7166666666666667;0.6666666666666666;0.6865671641791045;0.6935483870967742;0.6804123711340206
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6477732793522267;0.683982683982684;0.7477477477477479;0.6963562753036436;0.6534653465346535;0.6995884773662553;0.7372881355932204;0.6829268292682926;0.7014218009478673;0.6375545851528384
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.70042194092827;0.6785714285714285;0.7124463519313304;0.6538461538461539;0.6880733944954128;0.7123287671232877;0.6834170854271358;0.7542372881355931;0.7130434782608696;0.6403940886699508
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7420814479638009;0.6923076923076923;0.7129629629629629;0.7397260273972602;0.7372881355932204;0.6556016597510373;0.6502057613168725;0.6923076923076923;0.6700507614213197;0.639269406392694
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6978723404255318;0.6515837104072397;0.7407407407407407;0.7096774193548386;0.7014218009478673;0.6890756302521008;0.7058823529411765;0.7069767441860465;0.6902654867256638;0.7288888888888888
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7004608294930876;0.6602870813397129;0.712871287128713;0.7290640394088671;0.6903553299492385;0.65;0.6532663316582915;0.6567164179104477;0.6787330316742082;0.6294416243654822
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7;0.6519337016574586;0.7099567099567099;0.7555555555555554;0.715686274509804;0.6732673267326732;0.6974358974358974;0.7246376811594204;0.6105263157894736;0.6634146341463415
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.4347826086956522;0.5217391304347826;0.5;0.27272727272727276;0.2222222222222222;0.2608695652173913;0.5384615384615384;0.2857142857142857;0.2962962962962963;0.5714285714285714
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.42105263157894735;0.46153846153846145;0.2727272727272727;0.32;0.37499999999999994;0.375;0.2;0.38095238095238093;0.36363636363636365;0.46153846153846156
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.4347826086956522;0.5;0.6086956521739131;0.4347826086956522;0.3333333333333333;0.3076923076923077;0.36363636363636365;0.64;0.3333333333333333;0.4761904761904763
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.42105263157894735;0.38709677419354843;0.46808510638297873;0.4;0.44999999999999996;0.47619047619047616;0.4285714285714286;0.45714285714285713;0.5405405405405405;0.3902439024390244
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.24242424242424243;0.48275862068965525;0.36363636363636365;0.5555555555555556;0.2857142857142857;0.48484848484848486;0.5;0.3076923076923077;0.5333333333333333;0.3529411764705882
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.3333333333333333;0.27586206896551724;0.5333333333333333;0.48;0.34782608695652173;0.56;0.26666666666666666;0.5925925925925926;0.48275862068965525;0.5925925925925926
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.42105263157894735;0.45454545454545453;0.4347826086956522;0.5185185185185186;0.5384615384615384;0.42857142857142855;0.56;0.5;0.45454545454545453;0.5384615384615384
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.25;0.11764705882352941;0.4800000000000001;0.26666666666666666;0.36363636363636365;0.5;0.3529411764705882;0.2857142857142857;0.3;0.125
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.35714285714285715;0.3333333333333333;0.47619047619047616;0.38095238095238093;0.4444444444444444;0.42105263157894735;0.11764705882352941;0.4166666666666667;0.2857142857142857;0.5384615384615384
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.36363636363636365;0;0.42857142857142855;0.3333333333333333;0.5;0.26666666666666666;0.4;0.2;0.47619047619047616;0.4
