cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5625;0.6339285714285714;0.75;0.5740740740740741;0.6396396396396397;0.5619047619047619;0.6666666666666666;0.6320754716981132;0.6460176991150443;0.6699029126213593
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6534653465346535;0.5882352941176471;0.6106194690265486;0.6071428571428571;0.55;0.6050420168067226;0.5510204081632653;0.5245901639344263;0.5897435897435898;0.56
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5689655172413793;0.6160714285714286;0.6097560975609756;0.6576576576576577;0.6372549019607843;0.6283185840707964;0.5656565656565656;0.6407766990291263;0.5106382978723404;0.5826086956521739
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7610619469026548;0.8350515463917526;0.7232142857142857;0.7387387387387387;0.7263157894736842;0.7478260869565218;0.7383177570093458;0.8214285714285714;0.7413793103448276;0.8114754098360656
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6956521739130435;0.6991150442477876;0.7980769230769231;0.7049180327868853;0.6534653465346535;0.7264957264957265;0.725;0.7;0.7326732673267327;0.6822429906542056
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6747967479674797;0.7169811320754716;0.7280701754385965;0.6666666666666666;0.7894736842105263;0.7289719626168224;0.68;0.7807017543859649;0.7663551401869159;0.6310679611650486
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7592592592592593;0.7297297297297297;0.6936936936936937;0.7714285714285715;0.7767857142857143;0.6638655462184874;0.6869565217391305;0.7168141592920354;0.717391304347826;0.6481481481481481
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7321428571428571;0.72;0.7207207207207207;0.7264150943396226;0.7254901960784313;0.6507936507936508;0.6792452830188679;0.7169811320754716;0.6842105263157895;0.7008547008547008
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6785714285714286;0.6052631578947368;0.72;0.7184466019417476;0.6126126126126126;0.6435643564356436;0.6074766355140186;0.5789473684210527;0.6302521008403361;0.5688073394495413
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6481481481481481;0.5784313725490197;0.6507936507936508;0.7024793388429752;0.6636363636363637;0.6017699115044248;0.6415094339622641;0.646551724137931;0.5272727272727272;0.6415094339622641
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.4166666666666667;0.35294117647058826;0.4;0.23076923076923078;0.14285714285714285;0.15;0.4375;0.23076923076923078;0.25;0.5333333333333333
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.2857142857142857;0.4;0.21428571428571427;0.25;0.2727272727272727;0.25;0.14285714285714285;0.3333333333333333;0.2857142857142857;0.35294117647058826
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.3125;0.3333333333333333;0.5384615384615384;0.3125;0.25;0.25;0.3076923076923077;0.5714285714285714;0.25;0.4166666666666667
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5333333333333333;0.46153846153846156;0.5789473684210527;0.4444444444444444;0.47368421052631576;0.6666666666666666;0.47368421052631576;0.5333333333333333;0.5882352941176471;0.4444444444444444
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.2222222222222222;0.6363636363636364;0.3333333333333333;0.6666666666666666;0.36363636363636365;0.6666666666666666;0.5714285714285714;0.4444444444444444;0.6666666666666666;0.42857142857142855
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.25;0.2222222222222222;0.5333333333333333;0.5454545454545454;0.3076923076923077;0.4375;0.15384615384615385;0.5333333333333333;0.4375;0.6153846153846154
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.3333333333333333;0.4166666666666667;0.35714285714285715;0.5833333333333334;0.5384615384615384;0.3157894736842105;0.4666666666666667;0.5714285714285714;0.5;0.5833333333333334
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.16666666666666666;0.06666666666666667;0.375;0.16666666666666666;0.26666666666666666;0.4;0.25;0.2222222222222222;0.2;0.06666666666666667
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.25;0.25;0.3333333333333333;0.26666666666666666;0.3076923076923077;0.26666666666666666;0.08333333333333333;0.29411764705882354;0.21428571428571427;0.4117647058823529
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.3076923076923077;0.0;0.3333333333333333;0.21428571428571427;0.36363636363636365;0.18181818181818182;0.3333333333333333;0.13333333333333333;0.3333333333333333;0.35714285714285715
