cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.348314606741573;0.4491978609625668;0.48421052631578954;0.4512820512820513;0.582010582010582;0.45098039215686275;0.4401913875598086;0.40223463687150834;0.4508670520231214;0.46153846153846156
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.4456521739130435;0.5084745762711864;0.45161290322580644;0.5076142131979696;0.45744680851063835;0.48958333333333326;0.4361702127659574;0.5472636815920398;0.5490196078431373;0.45454545454545453
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5319148936170213;0.46153846153846156;0.5728643216080402;0.4673913043478261;0.48421052631578954;0.43956043956043955;0.5306122448979592;0.5454545454545455;0.4408602150537634;0.5
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6765799256505576;0.6614173228346457;0.6390041493775934;0.6173913043478261;0.648854961832061;0.6470588235294118;0.6212765957446809;0.6775510204081633;0.6926070038910506;0.6260869565217391
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6639344262295082;0.6589147286821706;0.6495726495726497;0.6276150627615062;0.6666666666666666;0.6349206349206349;0.6611570247933884;0.6666666666666666;0.6587301587301587;0.6210045662100456
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6055045871559633;0.5972850678733032;0.6608695652173914;0.672;0.6324786324786325;0.6255506607929515;0.6147186147186148;0.6493506493506493;0.6238532110091743;0.6160337552742616
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.6431372549019608;0.608294930875576;0.5819672131147541;0.664;0.6293103448275862;0.6074766355140188;0.5714285714285714;0.6580086580086579;0.6329113924050632;0.6607142857142857
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6454545454545454;0.5462184873949579;0.6147186147186148;0.6000000000000001;0.587719298245614;0.5851528384279476;0.6437768240343348;0.6260869565217392;0.6666666666666666;0.5961538461538461
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.47567567567567565;0.45348837209302323;0.44565217391304346;0.44897959183673464;0.45161290322580644;0.42162162162162153;0.4536082474226803;0.43529411764705883;0.5;0.40659340659340654
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.504950495049505;0.48039215686274506;0.46067415730337075;0.5464480874316939;0.5572139303482587;0.49514563106796117;0.48756218905472637;0.544502617801047;0.4656084656084656;0.5181347150259067
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5;0.3428571428571428;0.358974358974359;0.35;0.23529411764705882;0.32258064516129037;0.38888888888888895;0.35000000000000003;0.15789473684210528;0.2631578947368421
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.43243243243243246;0.3125;0.23529411764705882;0.3076923076923077;0.2608695652173913;0.3333333333333333;0.38095238095238093;0.3529411764705882;0.25806451612903225;0.34782608695652173
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5128205128205129;0.42105263157894735;0.588235294117647;0.35555555555555557;0.42105263157894735;0.358974358974359;0.41025641025641024;0.44999999999999996;0.2608695652173913;0.35
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.18604651162790697;0.20512820512820512;0.2;0.2127659574468085;0.08333333333333333;0.16666666666666666;0.18604651162790697;0.25;0.21818181818181814;0.24390243902439027
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.26666666666666666;0.34146341463414637;0.38888888888888895;0.2222222222222222;0.2777777777777778;0.23529411764705882;0.21621621621621623;0.4186046511627907;0.3448275862068966;0.45000000000000007
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.42105263157894735;0.2222222222222222;0.4;0.29268292682926833;0.34782608695652173;0.4347826086956521;0.42105263157894735;0.27027027027027023;0.3529411764705882;0.37499999999999994
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.3414634146341463;0.46511627906976744;0.37499999999999994;0.4186046511627907;0.38095238095238093;0.35000000000000003;0.48148148148148157;0.47058823529411764;0.3783783783783784;0.4680851063829787
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.21052631578947367;0.3157894736842105;0.11764705882352941;0.24242424242424243;0.24242424242424243;0.35;0.11428571428571428;0.24390243902439027;0.125;0.23529411764705882
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0;0.16;0.27027027027027023;0.3333333333333333;0.21621621621621623;0.37037037037037035;0.1875;0.2857142857142857;0.22857142857142856;0.16216216216216217
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.14285714285714285;0.2068965517241379;0.125;0.18181818181818182;0.31578947368421056;0.16216216216216214;0.26666666666666666;0.16216216216216217;0.12121212121212122;0.25
