cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5081967213114754;0.5526315789473685;0.5897435897435898;0.5176470588235295;0.6470588235294118;0.5411764705882353;0.5476190476190477;0.5217391304347826;0.582089552238806;0.6086956521739131
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5774647887323944;0.6338028169014085;0.5121951219512195;0.5952380952380952;0.5308641975308642;0.573170731707317;0.5774647887323944;0.7333333333333333;0.6292134831460674;0.5232558139534884
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6756756756756757;0.6086956521739131;0.7125;0.6142857142857143;0.5974025974025974;0.5714285714285714;0.65;0.627906976744186;0.5857142857142857;0.6865671641791045
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.610738255033557;0.5874125874125874;0.5579710144927537;0.5725806451612904;0.5862068965517241;0.5877862595419847;0.5793650793650794;0.6434108527131783;0.6267605633802817;0.5853658536585366
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6;0.6071428571428571;0.6229508196721312;0.5681818181818182;0.5833333333333334;0.5633802816901409;0.5714285714285714;0.5902777777777778;0.6287878787878788;0.5528455284552846
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.5689655172413793;0.5945945945945946;0.6129032258064516;0.672;0.6548672566371682;0.5634920634920635;0.5772357723577236;0.6818181818181818;0.6017699115044248;0.584
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.5985401459854015;0.616822429906542;0.5725806451612904;0.664;0.6347826086956522;0.5909090909090909;0.5740740740740741;0.6333333333333333;0.625;0.6434782608695652
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6339285714285714;0.5963302752293578;0.6761904761904762;0.6371681415929203;0.6146788990825688;0.6203703703703703;0.6147540983606558;0.6101694915254238;0.6422764227642277;0.5849056603773585
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5714285714285714;0.5735294117647058;0.6307692307692307;0.5365853658536586;0.5384615384615384;0.5416666666666666;0.6376811594202898;0.5211267605633803;0.6103896103896104;0.5285714285714286
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6144578313253012;0.5444444444444444;0.4939759036144578;0.5882352941176471;0.5957446808510638;0.5483870967741935;0.5104166666666666;0.5252525252525253;0.5432098765432098;0.6024096385542169
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7857142857142857;0.5;0.7;0.4117647058823529;0.36363636363636365;0.35714285714285715;0.5;0.4666666666666667;0.375;0.625
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6666666666666666;0.38461538461538464;0.3076923076923077;0.35294117647058826;0.4;0.5;0.42105263157894735;0.6;0.4;0.42105263157894735
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5555555555555556;0.4444444444444444;0.8333333333333334;0.5;0.5;0.5833333333333334;0.5;0.5294117647058824;0.46153846153846156;0.5833333333333334
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.18181818181818182;0.23529411764705882;0.22727272727272727;0.2631578947368421;0.125;0.21428571428571427;0.21052631578947367;0.2608695652173913;0.2222222222222222;0.38461538461538464
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.46153846153846156;0.5833333333333334;0.6363636363636364;0.4444444444444444;0.38461538461538464;0.4444444444444444;0.3333333333333333;0.6428571428571429;0.45454545454545453;0.75
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.4444444444444444;0.36363636363636365;0.6153846153846154;0.4;0.38095238095238093;0.5263157894736842;0.5;0.3333333333333333;0.42857142857142855;0.42857142857142855
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.4666666666666667;0.5263157894736842;0.5454545454545454;0.5;0.47058823529411764;0.4666666666666667;0.5416666666666666;0.631578947368421;0.5833333333333334;0.6111111111111112
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.5;0.3157894736842105;1.0;0.5;0.4444444444444444;0.5833333333333334;0.2857142857142857;0.4166666666666667;0.4;0.5714285714285714
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.0;0.25;0.625;0.42857142857142855;0.36363636363636365;0.8333333333333334;0.6;0.7142857142857143;0.4444444444444444;0.375
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.4;0.3333333333333333;0.2857142857142857;0.375;0.6666666666666666;0.3;0.5;0.2727272727272727;0.2857142857142857;0.6666666666666666
