cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;9.651547193527222;9.651547193527222;9.651547193527222;9.651547193527222;8.613944053649902;8.613944053649902;8.613944053649902;8.613944053649902;10.094465970993042;10.094465970993042
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;13.304131984710693;13.304131984710693;13.304131984710693;13.304131984710693;13.681737184524536;13.681737184524536;13.681737184524536;13.681737184524536;11.674969673156738;11.674969673156738
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;17.32866668701172;17.32866668701172;17.32866668701172;17.32866668701172;20.9511399269104;20.9511399269104;20.9511399269104;20.9511399269104;14.01390290260315;14.01390290260315
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;1.5171589851379395;1.5171589851379395;1.5171589851379395;1.5171589851379395;1.3792271614074707;1.3792271614074707;1.3792271614074707;1.3792271614074707;1.4190988540649414;1.4190988540649414
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.348827838897705;1.348827838897705;1.348827838897705;1.348827838897705;1.264096975326538;1.264096975326538;1.264096975326538;1.264096975326538;1.2287819385528564;1.2287819385528564
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;14.06581711769104;14.06581711769104;14.06581711769104;14.06581711769104;14.521318912506104;14.521318912506104;14.521318912506104;14.521318912506104;14.604623079299927;14.604623079299927
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;11.119178056716919;11.119178056716919;11.119178056716919;11.119178056716919;11.428626775741577;11.428626775741577;11.428626775741577;11.428626775741577;11.328194856643677;11.328194856643677
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;11.9480299949646;11.9480299949646;11.9480299949646;11.9480299949646;11.14379096031189;11.14379096031189;11.14379096031189;11.14379096031189;11.90547490119934;11.90547490119934
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;8.059179067611694;8.059179067611694;8.059179067611694;8.059179067611694;8.510334014892578;8.510334014892578;8.510334014892578;8.510334014892578;8.84916615486145;8.84916615486145
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;8.093719959259033;8.093719959259033;8.093719959259033;8.093719959259033;8.222321033477783;8.222321033477783;8.222321033477783;8.222321033477783;7.957697868347168;7.957697868347168
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5321781635284424;0.5321781635284424;0.5321781635284424;0.5321781635284424;0.47232890129089355;0.47232890129089355;0.47232890129089355;0.47232890129089355;0.4862699508666992;0.4862699508666992
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5231709480285645;0.5231709480285645;0.5231709480285645;0.5231709480285645;0.6322450637817383;0.6322450637817383;0.6322450637817383;0.6322450637817383;0.5266120433807373;0.5266120433807373
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5113480091094971;0.5113480091094971;0.5113480091094971;0.5113480091094971;0.5272278785705566;0.5272278785705566;0.5272278785705566;0.5272278785705566;0.48854708671569824;0.48854708671569824
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.14045000076293945;0.14045000076293945;0.14045000076293945;0.14045000076293945;0.21012401580810547;0.21012401580810547;0.21012401580810547;0.21012401580810547;0.14159011840820312;0.14159011840820312
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.10328793525695801;0.10328793525695801;0.10328793525695801;0.10328793525695801;0.10042905807495117;0.10042905807495117;0.10042905807495117;0.10042905807495117;0.1546170711517334;0.1546170711517334
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7125849723815918;0.7125849723815918;0.7125849723815918;0.7125849723815918;0.6155667304992676;0.6155667304992676;0.6155667304992676;0.6155667304992676;0.6123487949371338;0.6123487949371338
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.6407101154327393;0.6407101154327393;0.6407101154327393;0.6407101154327393;0.6235709190368652;0.6235709190368652;0.6235709190368652;0.6235709190368652;0.6727249622344971;0.6727249622344971
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.4698669910430908;0.4698669910430908;0.4698669910430908;0.4698669910430908;0.5104520320892334;0.5104520320892334;0.5104520320892334;0.5104520320892334;0.43674421310424805;0.43674421310424805
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.36113977432250977;0.36113977432250977;0.36113977432250977;0.36113977432250977;0.36334896087646484;0.36334896087646484;0.36334896087646484;0.36334896087646484;0.35465216636657715;0.35465216636657715
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.3856649398803711;0.3856649398803711;0.3856649398803711;0.3856649398803711;0.435136079788208;0.435136079788208;0.435136079788208;0.435136079788208;0.36283278465270996;0.36283278465270996
