cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6405228758169935;0.5629629629629629;0.6442953020134228;0.6918238993710691;0.6390532544378698;0.6133333333333333;0.5875;0.6666666666666666;0.6415094339622642;0.6666666666666666
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6666666666666666;0.6666666666666666;0.6623376623376623;0.6144578313253012;0.5774647887323943;0.6308724832214766;0.6442953020134228;0.619718309859155;0.6115702479338844;0.6052631578947368
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6871165644171779;0.6056338028169015;0.6754966887417219;0.6535947712418302;0.6266666666666667;0.6875;0.68;0.6626506024096386;0.6666666666666666;0.6666666666666666
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7217391304347827;0.7657657657657657;0.7531380753138076;0.6696035242290748;0.736;0.7447698744769874;0.7982456140350878;0.7732342007434944;0.72;0.6751054852320675
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7214611872146119;0.6944444444444444;0.7058823529411765;0.7027027027027026;0.7136150234741784;0.714975845410628;0.6442307692307692;0.7069767441860466;0.7488151658767772;0.7631578947368421
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7708333333333333;0.7914438502673796;0.7804878048780488;0.7159090909090909;0.696629213483146;0.8;0.7142857142857143;0.7213114754098361;0.7956989247311829;0.7071823204419889
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7499999999999999;0.7564766839378239;0.7602339181286549;0.7142857142857143;0.6867469879518072;0.755813953488372;0.7634408602150538;0.7634408602150538;0.7384615384615385;0.8021978021978021
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7169811320754716;0.7231638418079096;0.7100591715976332;0.7666666666666666;0.7577639751552795;0.7594936708860761;0.7142857142857143;0.7066666666666667;0.7710843373493976;0.7455621301775147
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.738255033557047;0.7125;0.6166666666666666;0.6875;0.5874125874125875;0.6666666666666666;0.6707317073170731;0.6293706293706294;0.64;0.7602339181286549
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6122448979591837;0.6216216216216216;0.6799999999999999;0.7368421052631579;0.6708860759493671;0.6842105263157894;0.7058823529411765;0.6442953020134228;0.6973684210526315;0.6081081081081081
