cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.8032786885245902;0.6440677966101694;0.7868852459016393;0.7746478873239436;0.9152542372881356;0.7419354838709677;0.7121212121212122;0.8125;0.75;0.7361111111111112
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8153846153846154;0.7846153846153846;0.7846153846153846;0.7727272727272727;0.7321428571428571;0.8245614035087719;0.7619047619047619;0.7096774193548387;0.7551020408163265;0.7666666666666667
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8115942028985508;0.7166666666666667;0.85;0.7352941176470589;0.7230769230769231;0.8208955223880597;0.796875;0.8461538461538461;0.7397260273972602;0.7051282051282052
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5886524822695035;0.648854961832061;0.6122448979591837;0.5205479452054794;0.5935483870967742;0.6267605633802817;0.6791044776119403;0.6540880503144654;0.5869565217391305;0.5333333333333333
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5895522388059702;0.5813953488372093;0.56;0.5735294117647058;0.608;0.6065573770491803;0.5153846153846153;0.5891472868217055;0.6422764227642277;0.6397058823529411
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7628865979381443;0.7474747474747475;0.7619047619047619;0.7078651685393258;0.6813186813186813;0.7450980392156863;0.6770833333333334;0.7021276595744681;0.7872340425531915;0.6881720430107527
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.717391304347826;0.7448979591836735;0.7303370786516854;0.6914893617021277;0.6404494382022472;0.7303370786516854;0.7473684210526316;0.7473684210526316;0.7272727272727273;0.7604166666666666
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.75;0.7441860465116279;0.7692307692307693;0.8023255813953488;0.7922077922077922;0.75;0.7692307692307693;0.8153846153846154;0.8;0.7875
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8208955223880597;0.8260869565217391;0.7551020408163265;0.7857142857142857;0.75;0.8225806451612904;0.7971014492753623;0.8823529411764706;0.7868852459016393;0.8783783783783784
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7758620689655172;0.7666666666666667;0.75;0.7875;0.7794117647058824;0.7878787878787878;0.75;0.7741935483870968;0.7910447761194029;0.7758620689655172
