cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7465437788018432;0.7489361702127659;0.7601809954751131;0.7677725118483413;0.6965174129353234;0.7363636363636364;0.6857142857142856;0.7570093457943925;0.7298578199052133;0.7488151658767772
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7488151658767772;0.7649769585253456;0.7592592592592592;0.6862745098039215;0.7368421052631579;0.7511312217194569;0.7601809954751131;0.7631578947368421;0.8112449799196787;0.7247706422018348
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.753623188405797;0.7543859649122806;0.7762557077625571;0.7557603686635944;0.7454545454545455;0.7619047619047619;0.7818181818181817;0.7254901960784315;0.7403846153846154;0.7317073170731707
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5428571428571428;0.6486486486486486;0.5496183206106869;0.47552447552447563;0.44999999999999996;0.5343511450381679;0.6760563380281691;0.39603960396039606;0.5655172413793104;0.42105263157894735
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5960264900662251;0.5714285714285714;0.4696969696969696;0.5540540540540541;0.6114649681528663;0.6380368098159509;0.5432098765432098;0.5935483870967742;0.6666666666666666;0.6197183098591551
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7528089887640449;0.7868852459016394;0.8252427184466018;0.7422680412371134;0.71875;0.7888888888888889;0.723404255319149;0.7272727272727273;0.7934782608695653;0.7195767195767196
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7731958762886597;0.7344632768361582;0.7939698492462312;0.723404255319149;0.7450980392156863;0.787878787878788;0.7608695652173914;0.7608695652173914;0.7085714285714286;0.8085106382978723
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7867298578199052;0.7461139896373058;0.7562189054726368;0.7789473684210526;0.8133971291866028;0.820754716981132;0.7623762376237623;0.8;0.8137254901960784;0.7860696517412935
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.823529411764706;0.780952380952381;0.816;0.7619047619047619;0.7400881057268722;0.7649769585253456;0.737864077669903;0.7665198237885462;0.7545454545454545;0.7939698492462312
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7443946188340806;0.7477477477477478;0.7818181818181817;0.7738693467336684;0.7547169811320755;0.779816513761468;0.7926267281105991;0.7601809954751131;0.7889908256880733;0.7387387387387389
