cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6532258064516129;0.6984126984126984;0.6774193548387096;0.7105263157894737;0.5555555555555556;0.6585365853658537;0.6050420168067226;0.6694214876033058;0.6581196581196581;0.6991150442477876
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6583333333333333;0.6916666666666667;0.6833333333333333;0.5882352941176471;0.6511627906976745;0.6484375;0.6885245901639344;0.7073170731707317;0.7426470588235294;0.632
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6724137931034483;0.688;0.68;0.7008547008547008;0.6833333333333333;0.6779661016949152;0.7107438016528925;0.6166666666666667;0.6875;0.7009345794392523
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.8636363636363636;0.8888888888888888;0.9473684210526315;0.8717948717948718;0.9;0.813953488372093;0.9411764705882353;0.7692307692307693;0.8723404255319149;0.8
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8823529411764706;0.7857142857142857;0.8857142857142857;0.8367346938775511;0.8;0.8253968253968254;0.8;0.8214285714285714;0.8548387096774194;0.8979591836734694
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7613636363636364;0.8372093023255814;0.8415841584158416;0.75;0.7340425531914894;0.8554216867469879;0.7640449438202247;0.7472527472527473;0.8021978021978022;0.7391304347826086
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8064516129032258;0.7471264367816092;0.8229166666666666;0.7472527472527473;0.7916666666666666;0.8125;0.7777777777777778;0.7777777777777778;0.7209302325581395;0.8539325842696629
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7614678899082569;0.7272727272727273;0.7102803738317757;0.7474747474747475;0.7870370370370371;0.8285714285714286;0.719626168224299;0.7333333333333333;0.7904761904761904;0.7523809523809524
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7711864406779662;0.7068965517241379;0.75;0.6956521739130435;0.6511627906976745;0.6747967479674797;0.6551724137931034;0.6492537313432836;0.6693548387096774;0.7117117117117117
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6535433070866141;0.664;0.7350427350427351;0.7333333333333333;0.6837606837606838;0.7142857142857143;0.7610619469026548;0.6829268292682927;0.7288135593220338;0.6456692913385826
