cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6530612244897959;0.6666666666666666;0.6237623762376239;0.7225130890052356;0.606060606060606;0.7009345794392523;0.6555555555555556;0.6298342541436465;0.6896551724137931;0.6601941747572816
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.69;0.7225130890052356;0.7403846153846154;0.6572769953051644;0.6235294117647059;0.7253886010362695;0.7064676616915422;0.6772486772486772;0.6666666666666666;0.5988700564971751
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6632124352331606;0.6373626373626373;0.7156862745098039;0.7564766839378239;0.7263681592039801;0.656084656084656;0.6536585365853658;0.7572815533980584;0.6896551724137931;0.676923076923077
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6996197718631179;0.7659574468085106;0.7749077490774908;0.7526881720430108;0.7122302158273381;0.7011070110701108;0.776978417266187;0.7482014388489208;0.7426470588235294;0.7781818181818181
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7751937984496123;0.7338709677419355;0.7377049180327868;0.7142857142857143;0.7352941176470589;0.7452471482889734;0.7470817120622568;0.7849056603773585;0.752851711026616;0.7209302325581395
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7918367346938776;0.6956521739130435;0.7586206896551725;0.8266666666666667;0.773913043478261;0.7475728155339807;0.7339449541284404;0.7310924369747899;0.8244897959183674;0.7255813953488373
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7589285714285713;0.8054298642533937;0.7751196172248804;0.7685185185185185;0.7962085308056872;0.7465437788018433;0.7323943661971831;0.7477477477477478;0.7281553398058251;0.8037383177570093
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7582938388625592;0.7342995169082125;0.7298578199052131;0.7411167512690355;0.8018018018018017;0.768472906403941;0.6796116504854368;0.712041884816754;0.7692307692307692;0.7767857142857144
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6298342541436464;0.7177033492822965;0.7291666666666666;0.7109004739336493;0.7272727272727273;0.6770833333333333;0.7120418848167539;0.761467889908257;0.7076923076923076;0.7329842931937173
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6699507389162561;0.7005649717514124;0.6965174129353234;0.6632124352331606;0.7582938388625592;0.6557377049180328;0.7348837209302325;0.7446808510638298;0.7632850241545894;0.7150259067357513
