cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7901234567901234;0.7948717948717948;0.7777777777777778;0.8313253012048193;0.6818181818181818;0.7653061224489796;0.8428571428571429;0.7402597402597403;0.7692307692307693;0.7391304347826086
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7666666666666667;0.8414634146341463;0.8191489361702128;0.7865168539325843;0.7910447761194029;0.8860759493670886;0.8554216867469879;0.8;0.7710843373493976;0.7910447761194029
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7804878048780488;0.7733333333333333;0.7934782608695652;0.8295454545454546;0.8202247191011236;0.7045454545454546;0.7282608695652174;0.8210526315789474;0.7777777777777778;0.7951807228915663
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5859872611464968;0.6506024096385542;0.6730769230769231;0.6325301204819277;0.592814371257485;0.5828220858895705;0.6625766871165644;0.6419753086419753;0.6158536585365854;0.6948051948051948
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6896551724137931;0.65;0.6666666666666666;0.6081081081081081;0.5952380952380952;0.6621621621621622;0.6442953020134228;0.7222222222222222;0.66;0.62
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.776;0.7079646017699115;0.7777777777777778;0.8157894736842105;0.7807017543859649;0.7623762376237624;0.7843137254901961;0.7565217391304347;0.8278688524590164;0.7358490566037735
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7522123893805309;0.8090909090909091;0.7297297297297297;0.7685185185185185;0.84;0.7232142857142857;0.7358490566037735;0.7545454545454545;0.78125;0.8113207547169812
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8080808080808081;0.8;0.7403846153846154;0.8111111111111111;0.8557692307692307;0.7959183673469388;0.7291666666666666;0.7472527472527473;0.794392523364486;0.8207547169811321
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7916666666666666;0.8426966292134831;0.8536585365853658;0.8333333333333334;0.8095238095238095;0.8125;0.8095238095238095;0.8217821782178217;0.8518518518518519;0.7865168539325843
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8;0.8266666666666667;0.7777777777777778;0.7619047619047619;0.8163265306122449;0.7407407407407407;0.7523809523809524;0.8536585365853658;0.8681318681318682;0.8023255813953488
