cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7651515151515152;0.7818930041152263;0.7716535433070866;0.7833333333333333;0.8081632653061224;0.7729083665338646;0.8248175182481753;0.8062015503875969;0.8099173553719009;0.8221343873517787
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8416666666666667;0.7966804979253113;0.8220338983050847;0.798418972332016;0.8076923076923077;0.7404255319148936;0.7966101694915255;0.8181818181818181;0.8030888030888033;0.7672413793103448
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.776470588235294;0.8;0.7242798353909464;0.7863247863247863;0.7622950819672132;0.8114754098360656;0.7984496124031009;0.7787610619469026;0.7280334728033474;0.7734375000000001
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7941176470588236;0.7567567567567567;0.7150837988826816;0.7446808510638298;0.7349397590361446;0.7513812154696133;0.7441860465116279;0.7589743589743589;0.7135135135135136;0.8064516129032259
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7939698492462312;0.7878787878787877;0.776595744680851;0.8186046511627907;0.8113207547169812;0.8055555555555556;0.7857142857142856;0.8078817733990148;0.7751196172248804;0.7553191489361702
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8425925925925926;0.8224299065420562;0.8195121951219512;0.8128342245989305;0.8173076923076923;0.835680751173709;0.8737864077669903;0.814814814814815;0.7982062780269058;0.8229665071770336
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.803921568627451;0.8181818181818181;0.7755102040816326;0.8653846153846154;0.8732394366197184;0.8173076923076923;0.8240740740740742;0.8415841584158414;0.8546255506607929;0.7896995708154506
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8613861386138614;0.8425531914893617;0.8292682926829267;0.8275862068965516;0.8019323671497585;0.8095238095238095;0.8241206030150754;0.8859649122807018;0.8596491228070176;0.826923076923077
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7859922178988327;0.8;0.7795275590551181;0.7580645161290324;0.7598253275109169;0.8151260504201681;0.8142292490118577;0.8298755186721992;0.84;0.8
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8333333333333333;0.8467741935483871;0.8290598290598291;0.8017241379310345;0.7948717948717948;0.816793893129771;0.8;0.8319327731092437;0.8372093023255816;0.7982456140350878
