cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6644736842105263;0.6985294117647058;0.6805555555555556;0.6762589928057554;0.7388059701492538;0.6783216783216783;0.773972602739726;0.7222222222222222;0.7368421052631579;0.7375886524822695
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8278688524590164;0.7384615384615385;0.7578125;0.7163120567375887;0.7291666666666666;0.6492537313432836;0.7175572519083969;0.7615384615384615;0.7428571428571429;0.6846153846153846
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.717391304347826;0.7111111111111111;0.6027397260273972;0.7076923076923077;0.6549295774647887;0.7443609022556391;0.7152777777777778;0.6984126984126984;0.6304347826086957;0.678082191780822
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9759036144578314;0.9722222222222222;0.9696969696969697;0.958904109589041;0.9838709677419355;0.9444444444444444;0.9552238805970149;0.961038961038961;0.9428571428571428;0.9615384615384616
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.9186046511627907;0.9176470588235294;0.8902439024390244;0.9263157894736842;0.8865979381443299;0.9157894736842105;0.8850574712643678;0.8282828282828283;0.9204545454545454;0.8255813953488372
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.900990099009901;0.8712871287128713;0.9032258064516129;0.8941176470588236;0.8673469387755102;0.8557692307692307;0.9;0.8979591836734694;0.8640776699029126;0.8775510204081632
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8817204301075269;0.9204545454545454;0.8444444444444444;0.9;0.9489795918367347;0.8947368421052632;0.8725490196078431;0.8673469387755102;0.9065420560747663;0.9108910891089109
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8877551020408163;0.8608695652173913;0.9139784946236559;0.8076923076923077;0.8556701030927835;0.8333333333333334;0.8631578947368421;0.9099099099099099;0.8828828828828829;0.8775510204081632
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6733333333333333;0.7479674796747967;0.678082191780822;0.6619718309859155;0.6692307692307692;0.751937984496124;0.7573529411764706;0.7692307692307693;0.8076923076923077;0.7246376811594203
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.819672131147541;0.8076923076923077;0.8220338983050848;0.7265625;0.75;0.7642857142857142;0.7441860465116279;0.7857142857142857;0.7883211678832117;0.7338709677419355
