cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.9017857142857143;0.8878504672897196;0.8909090909090909;0.9306930693069307;0.8918918918918919;0.8981481481481481;0.8828125;0.9122807017543859;0.8990825688073395;0.9285714285714286
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8559322033898306;0.8648648648648649;0.8981481481481481;0.9017857142857143;0.9051724137931034;0.8613861386138614;0.8952380952380953;0.8839285714285714;0.8739495798319328;0.8725490196078431
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8461538461538461;0.9142857142857143;0.9072164948453608;0.8846153846153846;0.9117647058823529;0.8918918918918919;0.9035087719298246;0.88;0.8613861386138614;0.9
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6694214876033058;0.6194690265486725;0.5663716814159292;0.6086956521739131;0.5865384615384616;0.6238532110091743;0.6095238095238096;0.6271186440677966;0.5739130434782609;0.6944444444444444
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6991150442477876;0.6902654867256637;0.6886792452830188;0.7333333333333333;0.7478260869565218;0.71900826446281;0.7064220183486238;0.7884615384615384;0.6694214876033058;0.696078431372549
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7913043478260869;0.7787610619469026;0.75;0.7450980392156863;0.7727272727272727;0.8165137614678899;0.8490566037735849;0.7457627118644068;0.7416666666666667;0.7747747747747747
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7387387387387387;0.7363636363636363;0.7169811320754716;0.8333333333333334;0.808695652173913;0.7522123893805309;0.7807017543859649;0.8173076923076923;0.8083333333333333;0.696969696969697
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8365384615384616;0.825;0.7589285714285714;0.8484848484848485;0.7545454545454545;0.7870370370370371;0.7884615384615384;0.8632478632478633;0.8376068376068376;0.7818181818181819
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.9439252336448598;0.8598130841121495;0.9166666666666666;0.8867924528301887;0.8787878787878788;0.8899082568807339;0.8803418803418803;0.9009009009009009;0.875;0.8928571428571429
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.847457627118644;0.8898305084745762;0.8362068965517241;0.8942307692307693;0.8454545454545455;0.8770491803278688;0.8648648648648649;0.8839285714285714;0.8925619834710744;0.875
