cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.8411214953271028;0.8596491228070176;0.8217821782178217;0.8771929824561403;0.75;0.7830188679245284;0.9017857142857143;0.8305084745762712;0.8090909090909091;0.7777777777777778
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8125;0.8849557522123894;0.8425925925925926;0.8061224489795918;0.8823529411764706;0.9166666666666666;0.8846153846153846;0.8584070796460177;0.831858407079646;0.875
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8378378378378378;0.8521739130434782;0.8272727272727273;0.8717948717948718;0.8545454545454545;0.7851239669421488;0.7706422018348624;0.8468468468468469;0.8165137614678899;0.8454545454545455
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.4396551724137931;0.4528301886792453;0.5233644859813084;0.44036697247706424;0.38738738738738737;0.40350877192982454;0.48598130841121495;0.4528301886792453;0.4473684210526316;0.5346534653465347
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5871559633027523;0.5701754385964912;0.6017699115044248;0.5084745762711864;0.423728813559322;0.5327102803738317;0.5350877192982456;0.6039603960396039;0.5321100917431193;0.5
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7254901960784313;0.6857142857142857;0.8135593220338984;0.8108108108108109;0.7641509433962265;0.7948717948717948;0.7924528301886793;0.7171717171717171;0.7878787878787878;0.7522123893805309
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7477477477477478;0.8108108108108109;0.7580645161290323;0.7807017543859649;0.8558558558558559;0.7350427350427351;0.7565217391304347;0.7545454545454545;0.8125;0.8245614035087719
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8272727272727273;0.8272727272727273;0.7652173913043478;0.8521739130434782;0.8557692307692307;0.8290598290598291;0.7678571428571429;0.8114754098360656;0.7962962962962963;0.8173076923076923
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8672566371681416;0.8627450980392157;0.8928571428571429;0.8514851485148515;0.865546218487395;0.8636363636363636;0.8608695652173913;0.8285714285714286;0.8888888888888888;0.8416666666666667
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8365384615384616;0.8916666666666667;0.8198198198198198;0.8230088495575221;0.8348623853211009;0.825;0.7678571428571429;0.896551724137931;0.8867924528301887;0.8521739130434782
