cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6555555555555556;0.7363184079601989;0.6947368421052631;0.7450980392156863;0.763819095477387;0.7046632124352332;0.7176470588235294;0.7311827956989247;0.7722772277227722;0.7643979057591623
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8137254901960784;0.7586206896551725;0.798076923076923;0.7329842931937173;0.7282608695652174;0.708133971291866;0.7692307692307694;0.7821782178217821;0.7243243243243243;0.7452830188679245
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6984126984126984;0.7647058823529411;0.6666666666666666;0.7619047619047619;0.7100000000000001;0.77;0.7204301075268817;0.7706422018348625;0.6829268292682926;0.6914893617021277
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.8250000000000002;0.8262548262548262;0.8075471698113208;0.8125;0.841726618705036;0.8288973384030418;0.838235294117647;0.8112449799196786;0.7953667953667954;0.8604651162790699
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8326530612244898;0.8292682926829267;0.8359374999999999;0.8296943231441049;0.8275862068965518;0.8157894736842106;0.8306451612903226;0.8381742738589212;0.8;0.8203125000000001
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8508771929824561;0.8347826086956522;0.8451882845188285;0.8638132295719845;0.8389830508474575;0.8484848484848485;0.8907563025210083;0.8245614035087718;0.7963800904977376;0.8425531914893617
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8333333333333334;0.853658536585366;0.8225806451612903;0.8813559322033898;0.8831168831168832;0.8389830508474575;0.8333333333333333;0.8677685950413224;0.847926267281106;0.7677725118483413
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8842975206611572;0.8229665071770336;0.8535564853556485;0.8547717842323652;0.8270042194092827;0.829059829059829;0.8571428571428571;0.8796296296296297;0.851851851851852;0.8474576271186441
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7058823529411764;0.7850467289719627;0.7052631578947369;0.693877551020408;0.7441860465116279;0.7864077669902914;0.7539267015706806;0.7980295566502463;0.7938144329896907;0.7422680412371133
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.803921568627451;0.8061224489795918;0.8095238095238095;0.7830188679245284;0.7714285714285715;0.7362637362637363;0.7647058823529413;0.8058252427184467;0.7741935483870968;0.7870370370370371
