cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;3.0428109169006348;3.0428109169006348;3.3704540729522705;3.3704540729522705;3.2279810905456543;3.2279810905456543;3.2299041748046875;3.2299041748046875;3.350045919418335;3.350045919418335
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;4.036419153213501;4.036419153213501;3.9744341373443604;3.9744341373443604;3.9014039039611816;3.9014039039611816;3.8629531860351562;3.8629531860351562;3.914720058441162;3.914720058441162
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;3.952242851257324;3.952242851257324;3.924960136413574;3.924960136413574;3.9626851081848145;3.9626851081848145;3.813917875289917;3.813917875289917;3.788616895675659;3.788616895675659
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.579179048538208;0.579179048538208;0.5124590396881104;0.5124590396881104;0.5824079513549805;0.5824079513549805;0.6045141220092773;0.6045141220092773;0.5208439826965332;0.5208439826965332
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.41653895378112793;0.41653895378112793;0.4794199466705322;0.4794199466705322;0.4960300922393799;0.4960300922393799;0.41799306869506836;0.41799306869506836;0.4798738956451416;0.4798738956451416
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;4.641838788986206;4.641838788986206;4.430388927459717;4.430388927459717;4.943018913269043;4.943018913269043;4.714051723480225;4.714051723480225;4.659709930419922;4.659709930419922
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;3.381361246109009;3.381361246109009;3.414660930633545;3.414660930633545;3.620943784713745;3.620943784713745;3.442915201187134;3.442915201187134;3.6571497917175293;3.6571497917175293
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;4.602727890014648;4.602727890014648;3.7390940189361572;3.7390940189361572;4.131211996078491;4.131211996078491;3.682915210723877;3.682915210723877;4.01159405708313;4.01159405708313
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;2.959102153778076;2.959102153778076;2.7012627124786377;2.7012627124786377;2.8236289024353027;2.8236289024353027;2.962578773498535;2.962578773498535;2.9161648750305176;2.9161648750305176
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;3.322617769241333;3.322617769241333;2.6675047874450684;2.6675047874450684;3.082422971725464;3.082422971725464;2.8414251804351807;2.8414251804351807;2.9279890060424805;2.9279890060424805
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;2.622093915939331;2.622093915939331;2.5094542503356934;2.5094542503356934;2.3980939388275146;2.3980939388275146;2.366892099380493;2.366892099380493;2.46087908744812;2.46087908744812
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;2.762009859085083;2.762009859085083;2.7044222354888916;2.7044222354888916;2.6351258754730225;2.6351258754730225;2.66388201713562;2.66388201713562;2.727630138397217;2.727630138397217
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;3.153696060180664;3.153696060180664;3.0988481044769287;3.0988481044769287;2.8592488765716553;2.8592488765716553;2.8205738067626953;2.8205738067626953;2.6497178077697754;2.6497178077697754
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.4303469657897949;0.4303469657897949;0.4958469867706299;0.4958469867706299;0.41927504539489746;0.41927504539489746;0.4958500862121582;0.4958500862121582;0.4947679042816162;0.4947679042816162
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.3915388584136963;0.3915388584136963;0.3213019371032715;0.3213019371032715;0.3717629909515381;0.3717629909515381;0.3201119899749756;0.3201119899749756;0.38505125045776367;0.38505125045776367
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;3.362895965576172;3.362895965576172;3.2147560119628906;3.2147560119628906;3.4378621578216553;3.4378621578216553;3.262662172317505;3.262662172317505;3.3052358627319336;3.3052358627319336
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;2.4310598373413086;2.4310598373413086;2.4398059844970703;2.4398059844970703;2.415609836578369;2.415609836578369;2.544734001159668;2.544734001159668;2.577402114868164;2.577402114868164
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;2.5742690563201904;2.5742690563201904;2.5661230087280273;2.5661230087280273;2.581204891204834;2.581204891204834;2.595606803894043;2.595606803894043;2.573208808898926;2.573208808898926
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;1.9376919269561768;1.9376919269561768;2.026524305343628;2.026524305343628;2.104809045791626;2.104809045791626;2.0122241973876953;2.0122241973876953;2.05121111869812;2.05121111869812
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.9336328506469727;1.9336328506469727;1.9955029487609863;1.9955029487609863;1.9712638854980469;1.9712638854980469;1.8193531036376953;1.8193531036376953;2.0644640922546387;2.0644640922546387
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;2.7295660972595215;2.7295660972595215;2.6141090393066406;2.6141090393066406;2.5453009605407715;2.5453009605407715;2.7449400424957275;2.7449400424957275;2.4529030323028564;2.4529030323028564
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;3.4260358810424805;3.4260358810424805;3.3880720138549805;3.3880720138549805;3.259829044342041;3.259829044342041;3.440566062927246;3.440566062927246;3.537975788116455;3.537975788116455
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;3.899825096130371;3.899825096130371;3.6182589530944824;3.6182589530944824;3.5895936489105225;3.5895936489105225;4.248594045639038;4.248594045639038;5.445897102355957;5.445897102355957
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.48704004287719727;0.48704004287719727;0.5178539752960205;0.5178539752960205;0.5714037418365479;0.5714037418365479;0.4865529537200928;0.4865529537200928;0.5327780246734619;0.5327780246734619
